,Post,Title,Replies,Views,Comment#,Query,Contents,Len,Days,Link,visit,read,topic,posts,given,received,topic_c,post_c,HelpLabel,AnswerLabel
0,1,About the Copter Logs -- deprecated category,1,1444,1,"Do not post here, please post in the *",You should probably change this,31,945,0,2,20m,9,23,0,0,1,2,0,0
1,3,"Extracting pitch, roll & yaw data for image mosaic",3,1136,1,"Aloha, I’m a grad student at the university of Hawaii and I’m using a 3DR X8+ with a FLIR thermal imaging camera with Teax thermal capture data collection system connected to it. It is being used to map cold water anomalies along the coastline of Maui. I’m working with a couple professors on this project and we have been attempting to mosaic the images I’ve collected so that they can be georeferenced for surface area calculations in ArcGIS, but there are a lot of difficulties involved. The biggest issue is that the camera is not set to be triggered by the copter as per a normal aerial mapping mission with the X8 mapper setup due to the type of camera and data collection system being used. Mosaicing is not going as planned and I am now attempting to access the pitch, roll and yaw data so that we can use that info to project the images appropriately. The main problem I’m having is understanding the format in which the tlog files are created when exported out as a CSV file format and opened in excel. I need to attempt to link images with the corresponding pitch roll and yaw by comparing time stamps of the tlog file with the image data files. Is this a lost cause? or is there an easy way of extracting out just the basic pitch, roll, yaw, lat and lon in a format that is understandable and perhaps user friendly? I’m using Mission Planner 1.3.31 to access the tlog files. Any help would be greatly appreciated!",I’m interested in this as well.  I’ll be doing a mapping/survey project soon can use all the information I can get my hands on.  I know there will be variations in flight position and if I know what the inputs are I might be able to use that information to get a true zero hold.,278,1,0,0,< 1m,0,7,0,0,2,5,0,0
2,3,"Extracting pitch, roll & yaw data for image mosaic",3,1136,2,"Aloha, I’m a grad student at the university of Hawaii and I’m using a 3DR X8+ with a FLIR thermal imaging camera with Teax thermal capture data collection system connected to it. It is being used to map cold water anomalies along the coastline of Maui. I’m working with a couple professors on this project and we have been attempting to mosaic the images I’ve collected so that they can be georeferenced for surface area calculations in ArcGIS, but there are a lot of difficulties involved. The biggest issue is that the camera is not set to be triggered by the copter as per a normal aerial mapping mission with the X8 mapper setup due to the type of camera and data collection system being used. Mosaicing is not going as planned and I am now attempting to access the pitch, roll and yaw data so that we can use that info to project the images appropriately. The main problem I’m having is understanding the format in which the tlog files are created when exported out as a CSV file format and opened in excel. I need to attempt to link images with the corresponding pitch roll and yaw by comparing time stamps of the tlog file with the image data files. Is this a lost cause? or is there an easy way of extracting out just the basic pitch, roll, yaw, lat and lon in a format that is understandable and perhaps user friendly? I’m using Mission Planner 1.3.31 to access the tlog files. Any help would be greatly appreciated!",Did you figure out how/what logs to use to get the correct pitch roll use data?,79,172,0,131,10h,319,2.2k,0,0,6,11,0,0
3,3,"Extracting pitch, roll & yaw data for image mosaic",3,1136,3,"Aloha, I’m a grad student at the university of Hawaii and I’m using a 3DR X8+ with a FLIR thermal imaging camera with Teax thermal capture data collection system connected to it. It is being used to map cold water anomalies along the coastline of Maui. I’m working with a couple professors on this project and we have been attempting to mosaic the images I’ve collected so that they can be georeferenced for surface area calculations in ArcGIS, but there are a lot of difficulties involved. The biggest issue is that the camera is not set to be triggered by the copter as per a normal aerial mapping mission with the X8 mapper setup due to the type of camera and data collection system being used. Mosaicing is not going as planned and I am now attempting to access the pitch, roll and yaw data so that we can use that info to project the images appropriately. The main problem I’m having is understanding the format in which the tlog files are created when exported out as a CSV file format and opened in excel. I need to attempt to link images with the corresponding pitch roll and yaw by comparing time stamps of the tlog file with the image data files. Is this a lost cause? or is there an easy way of extracting out just the basic pitch, roll, yaw, lat and lon in a format that is understandable and perhaps user friendly? I’m using Mission Planner 1.3.31 to access the tlog files. Any help would be greatly appreciated!",I am having the same problems at the moment Have you reached to any results Please contacte on my email if you solved this problem * Thank you and looking forward for hearing from you,183,2386,1,46,4h,71,553,0,0,2,6,0,0
4,4,Would like to know about PID tuning of drones in detail,1,812,1,"I would like to know more about PID. The math behind it, the calculations, the parameters, everything in detail. We know we can change the PID values on Mission Planner by observing the flight. That is what a customer does. But from a developer point of view I would like to know everything about drone PID.","You might be able to find PID tuning videos on youtube. It is a big field. Essentially, PID controller uses sensor path data, the intended path data, and their differences to correct the path to what you want. P is proportional gain, I is integral gain, and D is derivative gain. This is a good introduction: *",310,2233,1,2,13m,9,36,0,1,1,2,1,0
5,5,Tuning large 36Kg X8 drone seeking advice,15,5331,1,"I have been working on the construction of a rather large X8 drone which has an AUW of 36Kg. The test payload in this scenario has been 20lbs. Details of configuration: T-Motor U11 120kv motors in an X8 coaxial configuration. T-Motor 26x8.5 props T-Motor 80A Flame ESCs Pixhack flight controller with firmware 3.3.2 Mission Planner: 1.3.37 4x 22Ah 6s battery packs. These are being used in two series pairs to run the motors at 50V The 50V power is going through a UBEC in order to power the flight controller with 12V, as 50V was rated too high for the PM sensor. I instead use telemetry via the transmitter/receiver to monitor system voltages. This past weekend the weather was good enough to go out and do some flying. We tried to auto tune the system in order to improve its performance. But this has resulted in a lot of oscillations. After conducting an auto tune, the system seems perfectly fine. I then land the aircraft with the auto tune channel still high, and disarm in order to save the PID values. Then when I go to fly again, the system oscillates aggressively - even though the values were not doing this prior to landing and confirming the saving. This problem may be echoed in this forum thread: * Some people blame firmware 3.2 and indicate that problems went away after reverting to 3.1. However, I am on firmware 3.3.2. I do not know if these problems continued in 3.3, or if there is anything related to the problems they are describing. Because the auto tune takes a very long time for this particular machine (almost 10 minutes per axis), I end up doing each axis at a time while auto tuning. For reference, I have provided links to videos and DataFlash files from each step taken. All DataFlash files can be downloaded here: * I first started off performing the auto tune on just the roll axis. Video of this can be seen here: * The dataflash file from this flight is titled ‘2016-03-20 - 01 Auto tune Roll Axis’. After saving the new PID values for the roll, I went to perform the auto tune for the pitch. However, when I took it into the air, the system had extreme oscillations on the roll axis. Even though the PID values were fine at the end of the roll auto tune - as before landing these values are active so that the user can test them to see if they like it. However, once the controller has been cycled and the PID settings saved, heavy oscillations occurred. You can see this behavior in this video: * Dataflash file - “2016-03-20 - 02 Oscillations Roll Axis” The wiki indicates that if I am seeing vibration, to try lowering the ‘RC_FEEL’ value in the software to a value of .25 As the default is 50, I first tried a value of 25. This change had no effect, so I tried .25 This too had no effect, and so I reset it to 50. I then took a screen shot of the PID values for the roll axis, reset them to default, and then moved on to trying the pitch axis. The pitch axis went the same. Video can be seen here: * DataFlash file - ‘2016-03-20 - 03 Auto Tune Pitch’ As you will see at the end of the video, after landing and saving the PID values, the system shows extreme oscillations on the pitch axis. Again the PID values are documented, and then reset to default in order to proceed with the next axis. We then did the yaw axis. Video is here: * Dataflash file is titled ‘2016-03-20 - 04 Auto Tune Yaw’ Once again, at the end of the video you will see the resulting PID’s after landing and saving results in extreme oscillations. To see the PID values each axis auto tuned with, check out the screen grabs in this folder: * Probably my biggest concern when flying the machine is the fairly rapid loss in altitude when changing position in the roll or pitch directions. When in ‘altitude hold’ mode, the system goes down on an angle whenever I attempt to fly it around the field. And so we tried to adjust the ‘Altitude Hold’ gains manually. We moved the default of 1.0 to 1.2, to 1.5, and finally 2.0. I could not see any improvement, but we unfortunately ran out of batteries by this point. It did feel that landing the aircraft became more challenging as the value increased, but it is hard to know for certain. Video of these trials can be seen here: * DataFlash file is called: ‘2016-03-20 - 05 Altitude Hold Adjustments’ My next thought is to assign the ‘P’ value of each axis’ PID value to a channel 6 knob on the transmitter in order to manually adjust the gains during flight in order to try to dial out these oscillations. This may also prove to be a good way to try and improve ‘altitude hold’ performance. I see a lot of people saying poor altitude hold performance is often due to vibration issues on the flight controller. However, the values in the dataflash logs (except when the oscillations occur) seem to be pretty good I think. I think vibration issues are to blame for aircraft which raise or lower altitude on their own without any input whatsoever. In other words, the system simply rises or lowers while the throttle is at mid, without even trying to fly the aircraft in any particular direction. I think in our case, it is just not giving enough signal to the motors to maintain the altitude. Currently the weather here is not very good for flying, and so I thought I would share my efforts thus far in case someone may have some insights or advice on what steps I might try in order to improve the handling of this aircraft.","Hi, I think there is an issue with output saturation on the large copters. I will make an adjustment to autotune that will hopefully fix this issue. I am waiting to get some test data back before I proceed. People willing to test this for me would be appreciated. Thanks",270,5,0,1.2k,6d,776,11.0k,136,471,5,1.0k,1,0
6,5,Tuning large 36Kg X8 drone seeking advice,15,5331,2,"I have been working on the construction of a rather large X8 drone which has an AUW of 36Kg. The test payload in this scenario has been 20lbs. Details of configuration: T-Motor U11 120kv motors in an X8 coaxial configuration. T-Motor 26x8.5 props T-Motor 80A Flame ESCs Pixhack flight controller with firmware 3.3.2 Mission Planner: 1.3.37 4x 22Ah 6s battery packs. These are being used in two series pairs to run the motors at 50V The 50V power is going through a UBEC in order to power the flight controller with 12V, as 50V was rated too high for the PM sensor. I instead use telemetry via the transmitter/receiver to monitor system voltages. This past weekend the weather was good enough to go out and do some flying. We tried to auto tune the system in order to improve its performance. But this has resulted in a lot of oscillations. After conducting an auto tune, the system seems perfectly fine. I then land the aircraft with the auto tune channel still high, and disarm in order to save the PID values. Then when I go to fly again, the system oscillates aggressively - even though the values were not doing this prior to landing and confirming the saving. This problem may be echoed in this forum thread: * Some people blame firmware 3.2 and indicate that problems went away after reverting to 3.1. However, I am on firmware 3.3.2. I do not know if these problems continued in 3.3, or if there is anything related to the problems they are describing. Because the auto tune takes a very long time for this particular machine (almost 10 minutes per axis), I end up doing each axis at a time while auto tuning. For reference, I have provided links to videos and DataFlash files from each step taken. All DataFlash files can be downloaded here: * I first started off performing the auto tune on just the roll axis. Video of this can be seen here: * The dataflash file from this flight is titled ‘2016-03-20 - 01 Auto tune Roll Axis’. After saving the new PID values for the roll, I went to perform the auto tune for the pitch. However, when I took it into the air, the system had extreme oscillations on the roll axis. Even though the PID values were fine at the end of the roll auto tune - as before landing these values are active so that the user can test them to see if they like it. However, once the controller has been cycled and the PID settings saved, heavy oscillations occurred. You can see this behavior in this video: * Dataflash file - “2016-03-20 - 02 Oscillations Roll Axis” The wiki indicates that if I am seeing vibration, to try lowering the ‘RC_FEEL’ value in the software to a value of .25 As the default is 50, I first tried a value of 25. This change had no effect, so I tried .25 This too had no effect, and so I reset it to 50. I then took a screen shot of the PID values for the roll axis, reset them to default, and then moved on to trying the pitch axis. The pitch axis went the same. Video can be seen here: * DataFlash file - ‘2016-03-20 - 03 Auto Tune Pitch’ As you will see at the end of the video, after landing and saving the PID values, the system shows extreme oscillations on the pitch axis. Again the PID values are documented, and then reset to default in order to proceed with the next axis. We then did the yaw axis. Video is here: * Dataflash file is titled ‘2016-03-20 - 04 Auto Tune Yaw’ Once again, at the end of the video you will see the resulting PID’s after landing and saving results in extreme oscillations. To see the PID values each axis auto tuned with, check out the screen grabs in this folder: * Probably my biggest concern when flying the machine is the fairly rapid loss in altitude when changing position in the roll or pitch directions. When in ‘altitude hold’ mode, the system goes down on an angle whenever I attempt to fly it around the field. And so we tried to adjust the ‘Altitude Hold’ gains manually. We moved the default of 1.0 to 1.2, to 1.5, and finally 2.0. I could not see any improvement, but we unfortunately ran out of batteries by this point. It did feel that landing the aircraft became more challenging as the value increased, but it is hard to know for certain. Video of these trials can be seen here: * DataFlash file is called: ‘2016-03-20 - 05 Altitude Hold Adjustments’ My next thought is to assign the ‘P’ value of each axis’ PID value to a channel 6 knob on the transmitter in order to manually adjust the gains during flight in order to try to dial out these oscillations. This may also prove to be a good way to try and improve ‘altitude hold’ performance. I see a lot of people saying poor altitude hold performance is often due to vibration issues on the flight controller. However, the values in the dataflash logs (except when the oscillations occur) seem to be pretty good I think. I think vibration issues are to blame for aircraft which raise or lower altitude on their own without any input whatsoever. In other words, the system simply rises or lowers while the throttle is at mid, without even trying to fly the aircraft in any particular direction. I think in our case, it is just not giving enough signal to the motors to maintain the altitude. Currently the weather here is not very good for flying, and so I thought I would share my efforts thus far in case someone may have some insights or advice on what steps I might try in order to improve the handling of this aircraft.",How large is large. I am working with 8kg to 12kg copters and have experienced a strange crash in auto tune. I am happy to test this if this weight range is of use.,164,5,0,1.8k,13d,3.9k,26.2k,159,281,38,1.7k,0,0
7,5,Tuning large 36Kg X8 drone seeking advice,15,5331,3,"I have been working on the construction of a rather large X8 drone which has an AUW of 36Kg. The test payload in this scenario has been 20lbs. Details of configuration: T-Motor U11 120kv motors in an X8 coaxial configuration. T-Motor 26x8.5 props T-Motor 80A Flame ESCs Pixhack flight controller with firmware 3.3.2 Mission Planner: 1.3.37 4x 22Ah 6s battery packs. These are being used in two series pairs to run the motors at 50V The 50V power is going through a UBEC in order to power the flight controller with 12V, as 50V was rated too high for the PM sensor. I instead use telemetry via the transmitter/receiver to monitor system voltages. This past weekend the weather was good enough to go out and do some flying. We tried to auto tune the system in order to improve its performance. But this has resulted in a lot of oscillations. After conducting an auto tune, the system seems perfectly fine. I then land the aircraft with the auto tune channel still high, and disarm in order to save the PID values. Then when I go to fly again, the system oscillates aggressively - even though the values were not doing this prior to landing and confirming the saving. This problem may be echoed in this forum thread: * Some people blame firmware 3.2 and indicate that problems went away after reverting to 3.1. However, I am on firmware 3.3.2. I do not know if these problems continued in 3.3, or if there is anything related to the problems they are describing. Because the auto tune takes a very long time for this particular machine (almost 10 minutes per axis), I end up doing each axis at a time while auto tuning. For reference, I have provided links to videos and DataFlash files from each step taken. All DataFlash files can be downloaded here: * I first started off performing the auto tune on just the roll axis. Video of this can be seen here: * The dataflash file from this flight is titled ‘2016-03-20 - 01 Auto tune Roll Axis’. After saving the new PID values for the roll, I went to perform the auto tune for the pitch. However, when I took it into the air, the system had extreme oscillations on the roll axis. Even though the PID values were fine at the end of the roll auto tune - as before landing these values are active so that the user can test them to see if they like it. However, once the controller has been cycled and the PID settings saved, heavy oscillations occurred. You can see this behavior in this video: * Dataflash file - “2016-03-20 - 02 Oscillations Roll Axis” The wiki indicates that if I am seeing vibration, to try lowering the ‘RC_FEEL’ value in the software to a value of .25 As the default is 50, I first tried a value of 25. This change had no effect, so I tried .25 This too had no effect, and so I reset it to 50. I then took a screen shot of the PID values for the roll axis, reset them to default, and then moved on to trying the pitch axis. The pitch axis went the same. Video can be seen here: * DataFlash file - ‘2016-03-20 - 03 Auto Tune Pitch’ As you will see at the end of the video, after landing and saving the PID values, the system shows extreme oscillations on the pitch axis. Again the PID values are documented, and then reset to default in order to proceed with the next axis. We then did the yaw axis. Video is here: * Dataflash file is titled ‘2016-03-20 - 04 Auto Tune Yaw’ Once again, at the end of the video you will see the resulting PID’s after landing and saving results in extreme oscillations. To see the PID values each axis auto tuned with, check out the screen grabs in this folder: * Probably my biggest concern when flying the machine is the fairly rapid loss in altitude when changing position in the roll or pitch directions. When in ‘altitude hold’ mode, the system goes down on an angle whenever I attempt to fly it around the field. And so we tried to adjust the ‘Altitude Hold’ gains manually. We moved the default of 1.0 to 1.2, to 1.5, and finally 2.0. I could not see any improvement, but we unfortunately ran out of batteries by this point. It did feel that landing the aircraft became more challenging as the value increased, but it is hard to know for certain. Video of these trials can be seen here: * DataFlash file is called: ‘2016-03-20 - 05 Altitude Hold Adjustments’ My next thought is to assign the ‘P’ value of each axis’ PID value to a channel 6 knob on the transmitter in order to manually adjust the gains during flight in order to try to dial out these oscillations. This may also prove to be a good way to try and improve ‘altitude hold’ performance. I see a lot of people saying poor altitude hold performance is often due to vibration issues on the flight controller. However, the values in the dataflash logs (except when the oscillations occur) seem to be pretty good I think. I think vibration issues are to blame for aircraft which raise or lower altitude on their own without any input whatsoever. In other words, the system simply rises or lowers while the throttle is at mid, without even trying to fly the aircraft in any particular direction. I think in our case, it is just not giving enough signal to the motors to maintain the altitude. Currently the weather here is not very good for flying, and so I thought I would share my efforts thus far in case someone may have some insights or advice on what steps I might try in order to improve the handling of this aircraft.","Hi Leonard, Thank you for the reply! I had made the original posting via *. Not sure why the responses only show here on *. First, it has come to my attention that the videos in my posting may not be visible to everyone. And so, I have changed the permissions on the five video links. The new links in order are: * * * * * I may also be able test your new autotune solutions. Is it drones of this size (~35Kg) that this solution targets? In the meantime, my strategy is to reset all the PID values to their default. I would then assign the channel 6 knob to tune one axis’ P value. I was thinking of setting the low point to be the default, and the high point to be what the autotune solution was last time. I know those settings ended up being too high due to the oscillations, so my thinking was I could fly the machine and determine an appropriate value somewhere in-between. Is this a reasonable strategy? Again thank you for taking the time to look over this posting.",972,5,1,14,2h,31,176,1,2,3,10,1,0
8,5,Tuning large 36Kg X8 drone seeking advice,15,5331,4,"I have been working on the construction of a rather large X8 drone which has an AUW of 36Kg. The test payload in this scenario has been 20lbs. Details of configuration: T-Motor U11 120kv motors in an X8 coaxial configuration. T-Motor 26x8.5 props T-Motor 80A Flame ESCs Pixhack flight controller with firmware 3.3.2 Mission Planner: 1.3.37 4x 22Ah 6s battery packs. These are being used in two series pairs to run the motors at 50V The 50V power is going through a UBEC in order to power the flight controller with 12V, as 50V was rated too high for the PM sensor. I instead use telemetry via the transmitter/receiver to monitor system voltages. This past weekend the weather was good enough to go out and do some flying. We tried to auto tune the system in order to improve its performance. But this has resulted in a lot of oscillations. After conducting an auto tune, the system seems perfectly fine. I then land the aircraft with the auto tune channel still high, and disarm in order to save the PID values. Then when I go to fly again, the system oscillates aggressively - even though the values were not doing this prior to landing and confirming the saving. This problem may be echoed in this forum thread: * Some people blame firmware 3.2 and indicate that problems went away after reverting to 3.1. However, I am on firmware 3.3.2. I do not know if these problems continued in 3.3, or if there is anything related to the problems they are describing. Because the auto tune takes a very long time for this particular machine (almost 10 minutes per axis), I end up doing each axis at a time while auto tuning. For reference, I have provided links to videos and DataFlash files from each step taken. All DataFlash files can be downloaded here: * I first started off performing the auto tune on just the roll axis. Video of this can be seen here: * The dataflash file from this flight is titled ‘2016-03-20 - 01 Auto tune Roll Axis’. After saving the new PID values for the roll, I went to perform the auto tune for the pitch. However, when I took it into the air, the system had extreme oscillations on the roll axis. Even though the PID values were fine at the end of the roll auto tune - as before landing these values are active so that the user can test them to see if they like it. However, once the controller has been cycled and the PID settings saved, heavy oscillations occurred. You can see this behavior in this video: * Dataflash file - “2016-03-20 - 02 Oscillations Roll Axis” The wiki indicates that if I am seeing vibration, to try lowering the ‘RC_FEEL’ value in the software to a value of .25 As the default is 50, I first tried a value of 25. This change had no effect, so I tried .25 This too had no effect, and so I reset it to 50. I then took a screen shot of the PID values for the roll axis, reset them to default, and then moved on to trying the pitch axis. The pitch axis went the same. Video can be seen here: * DataFlash file - ‘2016-03-20 - 03 Auto Tune Pitch’ As you will see at the end of the video, after landing and saving the PID values, the system shows extreme oscillations on the pitch axis. Again the PID values are documented, and then reset to default in order to proceed with the next axis. We then did the yaw axis. Video is here: * Dataflash file is titled ‘2016-03-20 - 04 Auto Tune Yaw’ Once again, at the end of the video you will see the resulting PID’s after landing and saving results in extreme oscillations. To see the PID values each axis auto tuned with, check out the screen grabs in this folder: * Probably my biggest concern when flying the machine is the fairly rapid loss in altitude when changing position in the roll or pitch directions. When in ‘altitude hold’ mode, the system goes down on an angle whenever I attempt to fly it around the field. And so we tried to adjust the ‘Altitude Hold’ gains manually. We moved the default of 1.0 to 1.2, to 1.5, and finally 2.0. I could not see any improvement, but we unfortunately ran out of batteries by this point. It did feel that landing the aircraft became more challenging as the value increased, but it is hard to know for certain. Video of these trials can be seen here: * DataFlash file is called: ‘2016-03-20 - 05 Altitude Hold Adjustments’ My next thought is to assign the ‘P’ value of each axis’ PID value to a channel 6 knob on the transmitter in order to manually adjust the gains during flight in order to try to dial out these oscillations. This may also prove to be a good way to try and improve ‘altitude hold’ performance. I see a lot of people saying poor altitude hold performance is often due to vibration issues on the flight controller. However, the values in the dataflash logs (except when the oscillations occur) seem to be pretty good I think. I think vibration issues are to blame for aircraft which raise or lower altitude on their own without any input whatsoever. In other words, the system simply rises or lowers while the throttle is at mid, without even trying to fly the aircraft in any particular direction. I think in our case, it is just not giving enough signal to the motors to maintain the altitude. Currently the weather here is not very good for flying, and so I thought I would share my efforts thus far in case someone may have some insights or advice on what steps I might try in order to improve the handling of this aircraft.","Hi chuckntaylor, I have a bunch of parameter changes I would like you to try before we try my autotune changes. I can see some higher frequency oscillation in your quad at 11 and 17 Hz. I suspect we can reduce the bandwidth of your control without impacting your performance given your large weight. I have a bunch of parameter updates I would like you to try. I can’t upload a parameter file so I will put them below. Copy them into a .param file and upload them to your copter. Please be very careful when you first take off after these parameter changes as they will affect your tune. Your voltage reading on your battery looks funny. It seems to start lower and go up once it takes off.Is this working correctly? .param file: #NOTE: 3/22/2016 6:00:15 PM Frame : chuckntaylor 20160329 Leonard ACCEL_Z_FILT_HZ,5 ANGLE_MAX,3000 ATC_ACCEL_P_MAX,24000 ATC_ACCEL_R_MAX,24000 ATC_ACCEL_Y_MAX,9000 ATC_ANGLE_BOOST,1 ATC_RATE_FF_ENAB,1 ATC_SLEW_YAW,1000 AUTOTUNE_AGGR,0.05 AUTOTUNE_AXES,1 AUTOTUNE_MIN_D,0.004 INS_ACCEL_FILTER,5 INS_GYRO_FILTER,5 LOG_BITMASK,192509 MOT_THR_MIX_MAX,0.5 MOT_THR_MIX_MIN,0.1 MOT_THST_EXPO,0.7 MOT_THST_MAX,0.95 MOT_YAW_HEADROOM,200 RATE_PIT_FILT_HZ,5 RATE_RLL_FILT_HZ,5 RATE_YAW_FILT_HZ,2 RC_FEEL_RP,25",1228,6,0,1.2k,6d,776,11.0k,136,471,5,1.0k,1,0
9,5,Tuning large 36Kg X8 drone seeking advice,15,5331,5,"I have been working on the construction of a rather large X8 drone which has an AUW of 36Kg. The test payload in this scenario has been 20lbs. Details of configuration: T-Motor U11 120kv motors in an X8 coaxial configuration. T-Motor 26x8.5 props T-Motor 80A Flame ESCs Pixhack flight controller with firmware 3.3.2 Mission Planner: 1.3.37 4x 22Ah 6s battery packs. These are being used in two series pairs to run the motors at 50V The 50V power is going through a UBEC in order to power the flight controller with 12V, as 50V was rated too high for the PM sensor. I instead use telemetry via the transmitter/receiver to monitor system voltages. This past weekend the weather was good enough to go out and do some flying. We tried to auto tune the system in order to improve its performance. But this has resulted in a lot of oscillations. After conducting an auto tune, the system seems perfectly fine. I then land the aircraft with the auto tune channel still high, and disarm in order to save the PID values. Then when I go to fly again, the system oscillates aggressively - even though the values were not doing this prior to landing and confirming the saving. This problem may be echoed in this forum thread: * Some people blame firmware 3.2 and indicate that problems went away after reverting to 3.1. However, I am on firmware 3.3.2. I do not know if these problems continued in 3.3, or if there is anything related to the problems they are describing. Because the auto tune takes a very long time for this particular machine (almost 10 minutes per axis), I end up doing each axis at a time while auto tuning. For reference, I have provided links to videos and DataFlash files from each step taken. All DataFlash files can be downloaded here: * I first started off performing the auto tune on just the roll axis. Video of this can be seen here: * The dataflash file from this flight is titled ‘2016-03-20 - 01 Auto tune Roll Axis’. After saving the new PID values for the roll, I went to perform the auto tune for the pitch. However, when I took it into the air, the system had extreme oscillations on the roll axis. Even though the PID values were fine at the end of the roll auto tune - as before landing these values are active so that the user can test them to see if they like it. However, once the controller has been cycled and the PID settings saved, heavy oscillations occurred. You can see this behavior in this video: * Dataflash file - “2016-03-20 - 02 Oscillations Roll Axis” The wiki indicates that if I am seeing vibration, to try lowering the ‘RC_FEEL’ value in the software to a value of .25 As the default is 50, I first tried a value of 25. This change had no effect, so I tried .25 This too had no effect, and so I reset it to 50. I then took a screen shot of the PID values for the roll axis, reset them to default, and then moved on to trying the pitch axis. The pitch axis went the same. Video can be seen here: * DataFlash file - ‘2016-03-20 - 03 Auto Tune Pitch’ As you will see at the end of the video, after landing and saving the PID values, the system shows extreme oscillations on the pitch axis. Again the PID values are documented, and then reset to default in order to proceed with the next axis. We then did the yaw axis. Video is here: * Dataflash file is titled ‘2016-03-20 - 04 Auto Tune Yaw’ Once again, at the end of the video you will see the resulting PID’s after landing and saving results in extreme oscillations. To see the PID values each axis auto tuned with, check out the screen grabs in this folder: * Probably my biggest concern when flying the machine is the fairly rapid loss in altitude when changing position in the roll or pitch directions. When in ‘altitude hold’ mode, the system goes down on an angle whenever I attempt to fly it around the field. And so we tried to adjust the ‘Altitude Hold’ gains manually. We moved the default of 1.0 to 1.2, to 1.5, and finally 2.0. I could not see any improvement, but we unfortunately ran out of batteries by this point. It did feel that landing the aircraft became more challenging as the value increased, but it is hard to know for certain. Video of these trials can be seen here: * DataFlash file is called: ‘2016-03-20 - 05 Altitude Hold Adjustments’ My next thought is to assign the ‘P’ value of each axis’ PID value to a channel 6 knob on the transmitter in order to manually adjust the gains during flight in order to try to dial out these oscillations. This may also prove to be a good way to try and improve ‘altitude hold’ performance. I see a lot of people saying poor altitude hold performance is often due to vibration issues on the flight controller. However, the values in the dataflash logs (except when the oscillations occur) seem to be pretty good I think. I think vibration issues are to blame for aircraft which raise or lower altitude on their own without any input whatsoever. In other words, the system simply rises or lowers while the throttle is at mid, without even trying to fly the aircraft in any particular direction. I think in our case, it is just not giving enough signal to the motors to maintain the altitude. Currently the weather here is not very good for flying, and so I thought I would share my efforts thus far in case someone may have some insights or advice on what steps I might try in order to improve the handling of this aircraft.","Hi Mike, Large is now 30+kg. I too have a medium copter at 10kg. Things have changed a lot over the last year or so haven’t they ",129,6,0,1.2k,6d,776,11.0k,136,471,5,1.0k,0.3333,0
